DATE,CPALTT01CNM659N
1987-01-01,5.4333333333333333
1987-04-01,7.3666666666666667
1987-07-01,7.9000000000000000
1987-10-01,8.2333333333333333
1988-01-01,10.3366666666666667
1988-04-01,14.2333333333333333
1988-07-01,23.0700000000000000
1988-10-01,27.2666666666666667
1989-01-01,27.6300000000000000
1989-04-01,24.7666666666666667
1989-07-01,15.3966666666666667
1989-10-01,7.5366666666666667
1990-01-01,4.0333333333333333
1990-04-01,2.3366666666666667
1990-07-01,2.1700000000000000
1990-10-01,3.7000000000000000
1991-01-01,1.8666666666666667
1991-04-01,3.1000000000000000
1991-07-01,4.7000000000000000
1991-10-01,4.5666666666666667
1992-01-01,5.3666666666666667
1992-04-01,5.5333333333333333
1992-07-01,6.1666666666666667
1992-10-01,8.3000000000000000
1993-01-01,11.1000000000000000
1993-04-01,13.9000000000000000
1993-07-01,16.1000000000000000
1993-10-01,17.1333333333333333
1994-01-01,22.2333333333333333
1994-04-01,21.8666666666666667
1994-07-01,25.7000000000000000
1994-10-01,26.9000000000000000
1995-01-01,22.6000000000000000
1995-04-01,19.9666666666666667
1995-07-01,14.8000000000000000
1995-10-01,11.1333333333333333
1996-01-01,9.3666666666666667
1996-04-01,9.0666666666666667
1996-07-01,7.9333333333333333
1996-10-01,6.9666666666666667
1997-01-01,5.1666666666666667
1997-04-01,2.9333333333333333
1997-07-01,2.1333333333333333
1997-10-01,1.00000000000000000000
1998-01-01,0.00000000000000000000
1998-04-01,-0.86666666666666666667
1998-07-01,-1.4333333333333333
1998-10-01,-1.10000000000000000000
1999-01-01,-1.4333333333333333
1999-04-01,-2.0600000000000000
1999-07-01,-1.30000000000000000000
1999-10-01,-0.83333333333333333333
2000-01-01,0.10000000000000000000
2000-04-01,0.10000000000000000000
2000-07-01,0.26666666666666666667
2000-10-01,0.56666666666666666667
2001-01-01,0.66666666666666666667
2001-04-01,1.5666666666666667
2001-07-01,0.80000000000000000000
2001-10-01,-0.13333333333333333333
2002-01-01,-0.60000000000000000000
2002-04-01,-1.06666666666666666667
2002-07-01,-0.76666666666666666667
2002-10-01,-0.63333333333333333333
2003-01-01,0.50000000000000000000
2003-04-01,0.66666666666666666667
2003-07-01,0.83333333333333333333
2003-10-01,2.6666666666666667
2004-01-01,2.7666666666666667
2004-04-01,4.4000000000000000
2004-07-01,5.2666666666666667
2004-10-01,3.1666666666666667
2005-01-01,2.8333333333333333
2005-04-01,1.7333333333333333
2005-07-01,1.3333333333333333
2005-10-01,1.3666666666666667
2006-01-01,1.20000000000000000000
2006-04-01,1.3666666666666667
2006-07-01,1.26666666666666666667
2006-10-01,2.0333333333333333
2007-01-01,2.7333333333333333
2007-04-01,3.6000000000000000
2007-07-01,6.1000000000000000
2007-10-01,6.6333333333333333
2008-01-01,8.0333333333333333
2008-04-01,7.7666666666666667
2008-07-01,5.2666666666666667
2008-10-01,2.5333333333333333
2009-01-01,-0.60000000000000000000
2009-04-01,-1.5333333333333333
2009-07-01,-1.26666666666666666667
2009-10-01,0.66666666666666666667
2010-01-01,2.2000000000000000
2010-04-01,2.9333333333333333
2010-07-01,3.4666666666666667
2010-10-01,4.7000000000000000
2011-01-01,5.0666666666666667
2011-04-01,5.7333333333333333
2011-07-01,6.2666666666666667
2011-10-01,4.6000000000000000
2012-01-01,3.7666666666666667
2012-04-01,2.8666666666666667
2012-07-01,1.9000000000000000
2012-10-01,2.0666666666666667
2013-01-01,2.4333333333333333
2013-04-01,2.4000000000000000
2013-07-01,2.8000000000000000
2013-10-01,2.9000000000000000
2014-01-01,2.3000000000000000
2014-04-01,2.2000000000000000
2014-07-01,1.9666666666666667
2014-10-01,1.5000000000000000
2015-01-01,1.20000000000000000000
2015-04-01,1.3666666666666667
2015-07-01,1.7333333333333333
2015-10-01,1.4666666666666667
2016-01-01,2.1333333333333333
2016-04-01,2.0666666666666667
2016-07-01,1.6666666666666667
2016-10-01,2.1666666666666667
2017-01-01,1.4000000000000000
2017-04-01,1.4000000000000000
2017-07-01,1.6000000000000000
2017-10-01,1.8000000000000000
2018-01-01,2.1666666666666667
2018-04-01,1.8333333333333333
2018-07-01,2.3000000000000000
2018-10-01,2.2000000000000000
2019-01-01,1.8333333333333333
2019-04-01,2.6333333333333333
2019-07-01,2.8666666666666667
2019-10-01,4.2666666666666667
2020-01-01,4.9666666666666667
2020-04-01,2.7333333333333333
2020-07-01,2.2666666666666667
